obsid next_obsid time timestop date datestop gui_ms manvr_angle manvr_slew_err one_shot roll_err pitch_err yaw_err
18685 51558 561408385.704 561422521.48 2015:289:18:45:17.520 2015:289:22:40:53.296 ENAB 103.93 38.2 21.48636817932129 1.59328920001425 0.327629185505311 0.28178931033359844
51558 16690 561424670.9050001 561424937.405 2015:289:23:16:42.721 2015:289:23:21:09.221 ENAB 77.58 54.1 28.758346557617188 5.529927425089279 3.525701544512597 4.130741504103312
16690 16668 561426757.805 561474901.033 2015:289:23:51:29.621 2015:290:13:13:52.849 ENAB 164.07 53.0 7.642683982849121 0.7411579091006669 0.2212423003160764 0.3555159486727256
16668 16989 561477835.6079999 561491019.159 2015:290:14:02:47.424 2015:290:17:42:30.975 ENAB 26.44 33.0 5.698699474334717 0.6298217526956095 0.12527658333997665 0.1288247882400456
16989 17013 561492087.209 561497155.834 2015:290:18:00:19.025 2015:290:19:24:47.650 ENAB 89.28 67.0 30.59280014038086 2.890635149520741 0.2215068867700816 0.21170503170258434
17013 17097 561499126.909 561544576.4369999 2015:290:19:57:38.725 2015:291:08:35:08.253 ENAB 88.57 54.9 12.70128059387207 1.1802670063993679 0.18447438816285258 0.15537212938324513
17097 16662 561546502.412 561551186.662 2015:291:09:07:14.228 2015:291:10:25:18.478 ENAB 20.89 31.5 4.868869304656982 5.405247849641553 0.3229610842960563 0.30572266900414274
16662 18683 561552152.212 561571867.064 2015:291:10:41:24.028 2015:291:16:09:58.880 ENAB 93.28 51.5 2.9428858757019043 3.062679827363894 0.3276582817609951 0.2698862872649922
18683 51557 561573853.514 561589779.965 2015:291:16:43:05.330 2015:291:21:08:31.781 ENAB 0.0 20.3 7.0788493156433105 0.6177887344601692 0.15422772824879377 0.13902217229196212
51556 51555 561591873.015 561595267.8149999 2015:291:21:43:24.831 2015:291:22:39:59.631 ENAB 56.39 30.5 5.426779747009277 1.1026140712935204 0.307520408644481 0.15211800114603696
51555 51554 561596760.215 561625113.767 2015:291:23:04:52.031 2015:292:06:57:25.583 ENAB 107.62 74.0 10.112540245056152 0.8353103909450065 0.19154505968910407 0.20262692489058395
51554 17010 561627297.0170001 561637448.617 2015:292:07:33:48.833 2015:292:10:23:00.433 ENAB 99.06 72.9 19.8862247467041 1.857387977512348 0.21833002963355758 0.22167572384368112
17010 16728 561639592.9169999 561690407.295 2015:292:10:58:44.733 2015:293:01:05:39.111 ENAB 86.68 48.3 19.977399826049805 2.6283968064963106 0.2309714428838765 0.17849410397725685
16728 17330 561692331.22 561693492.545 2015:293:01:37:43.036 2015:293:01:57:04.361 ENAB 54.77 44.7 17.328702926635742 8.52389799232939 0.3463008962343611 0.6030229943901453
17330 17331 561694979.821 561698153.221 2015:293:02:21:51.637 2015:293:03:14:45.037 ENAB 0.05 20.3 0.4106174111366272 0.8443074934810287 0.31270276882024517 0.17828144430322077
17331 17332 561698481.221 561699663.046 2015:293:03:20:13.037 2015:293:03:39:54.862 ENAB 0.06 20.3 0.9354697465896606 2.3127793845148426 0.3490401089164402 0.1823866614687695
17332 17333 561699981.821 561701173.896 2015:293:03:45:13.637 2015:293:04:05:05.712 ENAB 0.06 20.3 0.5727077722549438 2.1753025591978616 0.337683151843042 0.17045790950611409
17333 17334 561701502.921 561702682.696 2015:293:04:10:34.737 2015:293:04:30:14.512 ENAB 0.05 20.3 0.5134252905845642 4.324258880966857 0.36136836691458185 0.18411720395381528
17334 17335 561703007.621 561704193.546 2015:293:04:35:39.437 2015:293:04:55:25.362 ENAB 0.03 20.3 0.4979735314846039 1.844043845602032 0.3574126268381933 0.19366167628244743
17335 17336 561704520.521 561705703.371 2015:293:05:00:52.337 2015:293:05:20:35.187 ENAB 0.07 20.3 0.9663469195365906 2.1428364280832075 0.43949310784276585 0.16530485194245684
17336 17337 561706021.1209999 561707213.196 2015:293:05:25:52.937 2015:293:05:45:45.012 ENAB 0.09 20.3 0.7454272508621216 3.197483924286442 0.38262352874547806 0.19819941651120848
17337 17338 561707542.2210001 561708723.021 2015:293:05:51:14.037 2015:293:06:10:54.837 ENAB 0.07 20.3 0.41717997193336487 2.5958264466282217 0.2840453394505481 0.15117986732641844
17338 17339 561709046.921 561710232.8460001 2015:293:06:16:18.737 2015:293:06:36:04.662 ENAB 0.11 20.3 0.7917693853378296 3.3030162500074915 0.3891506949721376 0.18778464534719524
17339 17340 561710559.821 561711742.671 2015:293:06:41:31.637 2015:293:07:01:14.487 ENAB 0.04 20.3 0.4794391393661499 2.557836791891082 0.40954876477874314 0.2650098035875658
17340 17341 561712064.522 561713253.522 2015:293:07:06:36.338 2015:293:07:26:25.338 ENAB 0.03 20.3 0.7079859375953674 1.7403828724854127 0.307959722709987 0.15691942736441086
17341 17342 561713581.522 561714763.347 2015:293:07:31:53.338 2015:293:07:51:35.163 ENAB 0.06 20.3 0.7439794540405273 1.2686284891772917 0.38386556929757576 0.229905030407672
17342 17343 561715082.1220001 561716273.172 2015:293:07:56:53.938 2015:293:08:16:44.988 ENAB 0.17 20.3 0.34760582447052 2.234973633097715 0.415377845985093 0.18739616531059877
17343 17344 561716595.0220001 561717782.997 2015:293:08:22:06.838 2015:293:08:41:54.813 ENAB 0.04 20.3 0.4626268744468689 2.147298942015843 0.3242056011252334 0.14176491179291204
17344 17345 561718107.922 561719293.847 2015:293:08:47:19.738 2015:293:09:07:05.663 ENAB 0.05 20.3 0.3145054876804352 2.3424081898479834 0.3258624556074904 0.2116643607275217
17345 17346 561719620.822 561720802.6470001 2015:293:09:12:32.638 2015:293:09:32:14.463 ENAB 0.05 20.3 1.3068952560424805 1.7830451870327964 0.3817068559938816 0.17419873874748537
17346 17347 561721121.4219999 561722313.4970001 2015:293:09:37:33.238 2015:293:09:57:25.313 ENAB 0.13 20.3 0.2699413299560547 2.7599418976661894 0.3532399498819041 0.24919151444104776
17347 17348 561722638.422 561723823.3219999 2015:293:10:02:50.238 2015:293:10:22:35.138 ENAB 0.39 20.4 1.659085988998413 1.8883970822011884 0.33988328650879274 0.13076450109960638
17348 17349 561724147.222 561725333.147 2015:293:10:27:59.038 2015:293:10:47:44.963 ENAB 0.07 20.3 0.5750771164894104 1.9671601398256275 0.35842684989898066 0.15770133061192526
17349 17350 561725656.022 561726842.972 2015:293:10:53:07.838 2015:293:11:12:54.788 ENAB 0.41 20.4 0.5845007300376892 3.660096980678337 0.3986421899790091 0.16891869928976566
17350 17218 561727160.722 561728352.7969999 2015:293:11:18:12.538 2015:293:11:38:04.613 ENAB 72.19 62.2 10.536332130432129 1.9294755549208062 0.31247390078714354 0.19123522489937392
17218 16964 561730063.523 561793745.751 2015:293:12:06:35.339 2015:294:05:47:57.567 ENAB 91.21 51.0 28.213220596313477 1.1912631961658333 0.18235860168512102 0.17435346385568315
16964 51552 561795741.426 561820770.903 2015:294:06:21:13.242 2015:294:13:18:22.719 ENAB 0.0 20.3 5.976109027862549 0.3988428809804946 0.1681718742892511 0.2054035818836526
51552 51551 561821292.628 561821463.803 2015:294:13:27:04.444 2015:294:13:29:55.619 ENAB 107.84 61.3 39.299407958984375 3.1851202480221947 1.1159806397749499 0.7257443411792419
51551 51550 561823691.128 561839293.679 2015:294:14:07:02.944 2015:294:18:27:05.495 ENAB 137.97 40.3 30.73689842224121 1.3930064840922216 0.2590610544153834 0.29658047914287355
51550 51549 561841911.529 561857063.08 2015:294:19:10:43.345 2015:294:23:23:14.896 ENAB 108.27 69.2 22.734643936157227 1.9616870046897752 0.22659946314204046 0.2726138689486679
51549 18687 561859275.03 561862048.68 2015:295:00:00:06.846 2015:295:00:46:20.496 ENAB 100.76 60.8 29.886533737182617 1.732158631033629 0.27370046683500493 0.3815579041756171
18687 18632 561864178.63 561943388.585 2015:295:01:21:50.446 2015:295:23:22:00.401 ENAB 138.6 46.0 8.486764907836914 1.3899310229982311 0.25273724306403716 0.3296090628287136
18632 16725 561945981.835 561953167.085 2015:296:00:05:13.651 2015:296:02:04:58.901 ENAB 83.38 54.5 33.963993072509766 0.907840321486297 0.303528537434342 0.2839158226554223
16725 16678 561955067.435 561985208.587 2015:296:02:36:39.251 2015:296:10:59:00.403 ENAB 58.22 42.7 14.022544860839844 0.41774854361452896 0.22544521786821453 0.23141244532011856
16678 16954 561986723.5370001 561996915.113 2015:296:11:24:15.353 2015:296:14:14:06.929 ENAB 62.47 43.5 19.19993019104004 1.892792961768776 0.34211463727348457 0.22913183164928558
16954 51548 561998515.138 562048507.466 2015:296:14:40:46.954 2015:297:04:33:59.282 ENAB 0.0 20.3 5.079178333282471 0.4373906735636047 0.28046224155526855 0.33974011267038035
51548 51547 562049010.741 562049200.366 2015:297:04:42:22.557 2015:297:04:45:32.182 ENAB 105.74 52.1 36.98099899291992 3.7452478201453414 1.336733987925881 0.6377346961030242
